nombre_programa,codigo_pto,departamento,fecha_muestra,fecha_hora,id_muestra,clorofila_a_mg_l,feofitina_a_mg_l,alc_t_mg_ca_co3_l,conduc_m_s_cm,od_mg_l,p_h_sin_unid,sat_o2_percent,ssf_mg_l,sst_mg_l,ssv_mg_l,t_º_c,transparencia_cm,as_mg_l,cd_mg_l,ca_mg_l,cr_mg_l,fe_mg_l,mg_mg_l,hg_mg_l,ni_mg_l,pb_mg_l,k_mg_l,na_mg_l,zn_mg_l,n_amoniacal_mg_nh4_n_l,cn_total_mg_l,po4_mg_po4_p_l,pt_mg_p_l,no3_mg_no3_n_l,no2_mg_no2_n_l,nt_mg_n_l,termo_tmf_ufc_100ml,aox_mg_l,glifosato_mg_l,aldrin_mg_l,p_p_ddd_mg_l,p_p_dde_mg_l,p_p_ddt_mg_l,dieldrin_mg_l,endosulfan_alfa_mg_l,endosulfan_beta_mg_l,endosulfansulfato_mg_l,heptacloro_mg_l,lindano_mg_l,metoxicloro_mg_l,atrazina_mg_l,dbo5_mg_o2_l,sustfenolicas_mg_l,ampa_mg_l,st_mg_l,stf_mg_l,stv_mg_l,color_unidad_de_color,turbidez_ntu,cu_mg_l,se_mg_l,so4_mg_l,si_o2_mg_si_o2_l,colif_tmf_ufc_100ml,enteroc_sd_nmp_100m_l,ecoli_mf_ufc_100ml,pc_btotales_ng_l,toc_mg_l,dqo_mg_o2_l,ay_g_mg_l,dureza_t_mg_ca_co3_l,al_mg_l,s2_mg_l,heptacloroepoxido_mg_l,sd_mg_l,sdv_mg_l,pcb105_ng_l,pcb114_ng_l,pcb118_ng_l,pcb123_ng_l,pcb126_ng_l,pcb156_ng_l,pcb157_ng_l,pcb167_ng_l,pcb169_ng_l,pcb189_ng_l,pcb77_ng_l,pcb81_ng_l,b_mg_l,cl_mg_l,fenantreno_mg_l,fluoranteno_mg_l,fluoreno_mg_l,naftaleno_mg_l,pireno_mg_l,dibenzo_a_h_antraceno_mg_l,criseno_mg_l,benzo_a_antraceno_mg_l,benzo_a_pireno_mg_l,benzo_b_j_fluoranteno_mg_l,benzo_k_fluoranteno_mg_l,benzo_ghi_perileno_mg_l,acenafteno_mg_l,acenaftileno_mg_l,antraceno_mg_l,indeno_1_2_3_cd_pyreno_mg_l,deterg318_mg_l,ecoli_sd_nmp_100m_l
Río Negro,RN9F,RÍO NEGRO,2011-04-01,2011-04-01 00:00:00,3271139,NA,NA,40.9,93.1,8.52,7.35,95.6,NA,NA,NA,21,NA,NA,NA,10,NA,1.3,3.1,NA,NA,NA,1.9,4.4,NA,NA,NA,37.1,68.8,NA,NA,0.32,NA,18,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.63,NA,100,69,31,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Río Negro,RN10,RÍO NEGRO,2011-04-01,2011-04-01 00:00:00,3271140,0.1,5.2,41.6,99.9,8.07,7.33,96,NA,NA,NA,23.3,NA,NA,NA,10,NA,0.99,3.2,NA,NA,NA,1.9,4.3,NA,NA,NA,55.5,94,NA,NA,0.47,1800,18,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,93,67,27,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Río Negro,RN11,RÍO NEGRO,2011-04-06,2011-04-06 00:00:00,3271141,21.5,6.4,47.5,101.6,8.33,7.89,95,NA,NA,NA,20.8,NA,NA,NA,10,NA,0.58,3.5,NA,NA,NA,1.9,6.1,NA,0.03,NA,51.6,80.8,NA,NA,1.39,36,20,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.8,NA,NA,100,70,30,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Río Negro,RN12,DURAZNO,2011-04-06,2011-04-06 00:00:00,3271142,12.4,0.5,50.1,108,8.36,7.86,95.8,NA,NA,NA,20.8,NA,NA,NA,11,NA,0.5,3.7,NA,NA,NA,1.9,6.5,NA,0.02,NA,52.3,87.2,NA,NA,0.73,110,23,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.8,NA,NA,160,80,80,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Río Negro,RN13,SORIANO,2011-04-07,2011-04-07 00:00:00,3271143,16.7,12.1,50.8,115.1,9.1,8.78,108.4,NA,5,NA,22.1,NA,NA,NA,11,NA,0.84,3.6,NA,NA,NA,1.9,6.9,NA,0.07,NA,37.8,72.7,0.16,NA,0.74,730,22,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.5,NA,NA,120,80,40,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Río Negro,RN13F,RÍO NEGRO,2011-04-07,2011-04-07 00:00:00,3271144,NA,NA,51.3,113.9,8.4,7.78,94.7,NA,NA,NA,21.4,NA,NA,NA,12,NA,0.82,3.6,NA,NA,NA,1.8,6.8,NA,0.05,NA,38.5,67.3,NA,NA,0.66,NA,27,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.4,NA,NA,220,80,140,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Río Negro,RN14,SORIANO,2011-04-07,2011-04-07 00:00:00,3271145,20.1,NA,52,116.3,8.1,8,96.1,NA,NA,NA,23.1,NA,NA,NA,12,NA,0.85,3.7,NA,NA,NA,1.9,7.2,NA,0.03,NA,59.9,94.2,0.19,NA,0.71,32000,23,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1.8,NA,160,80,80,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Río Negro,RN15,SORIANO,2011-04-08,2011-04-08 00:00:00,3271146,4.1,2,68.5,142.9,8.26,8.06,95.5,5,7,NA,21.6,NA,NA,NA,16,NA,0.54,4.1,NA,NA,NA,2,9.5,NA,0.05,NA,45.7,63.2,NA,NA,0.56,1900,21,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.1,NA,NA,220,130,90,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Río Negro,RN16,SORIANO,2011-04-08,2011-04-08 00:00:00,3271147,5.3,0.4,65.6,138.5,7.83,7.75,90.4,5,6,NA,21.5,NA,NA,NA,15,NA,0.54,4,NA,NA,NA,2,9.2,NA,0.04,NA,51.8,62.8,NA,NA,0.5,4200,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,170,94,76,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Río Negro,RN17,SORIANO,2011-04-08,2011-04-08 00:00:00,3271148,NA,33.2,45.9,101.4,8.9,7.95,102,6,8,NA,21.3,NA,NA,NA,10,NA,0.87,3.1,NA,NA,NA,1.7,6.2,NA,0.24,NA,41.5,97.2,NA,NA,0.59,700,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.1,1.4,NA,160,80,80,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Río Negro,RN1,CERRO LARGO,2011-05-25,2011-05-25 00:00:00,3271149,0.4,4.2,52,192.9,6.92,6.57,74,19,22,NA,14.9,NA,NA,NA,15,NA,0.81,4.4,NA,NA,NA,5.2,17,NA,NA,NA,67,119,0.35,NA,1.54,700,24,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,260,140,120,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Río Negro,RN2,TACUAREMBÓ,2011-05-25,2011-05-25 00:00:00,3271150,NA,1.3,55,159.1,7.95,7.27,80.5,9,16,7,14.1,NA,NA,NA,13,NA,0.69,4.6,NA,NA,NA,2.8,12,NA,0.028,NA,66.3,131,0.34,NA,1.06,20,20,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,240,130,110,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Río Negro,RN3,TACUAREMBÓ,2011-05-25,2011-05-25 00:00:00,3271151,0.1,2.8,45,110.3,8.72,7.29,88,5,9,NA,14.3,NA,NA,NA,10,NA,1,3.7,NA,NA,NA,1.9,7.9,NA,NA,NA,79,116,0.27,NA,0.86,270,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.9,NA,210,110,100,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Río Negro,RN5,TACUAREMBÓ,2011-05-26,2011-05-26 00:00:00,3271152,1.6,21.1,40,89.7,7.91,7.22,81.1,NA,5,NA,15.4,NA,NA,NA,9.7,NA,1.1,3,NA,NA,NA,1.9,5.2,NA,NA,NA,34.3,81.3,0.086,NA,1,54,20,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,99,75,24,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Río Negro,RN5F,TACUAREMBÓ,2011-05-26,2011-05-26 00:00:00,3271153,NA,NA,42,89.6,8.43,7.62,86.1,NA,6,NA,16.2,NA,NA,NA,9.2,NA,0.9,3,NA,NA,NA,2,5,NA,NA,NA,34.3,70.6,0.077,NA,0.65,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,98,70,28,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Río Negro,RN6,TACUAREMBÓ,2011-05-26,2011-05-26 00:00:00,3271154,0.3,1.6,41,93.1,6.58,7.12,66.4,5,6,NA,15.8,NA,NA,NA,9.3,NA,0.84,3.1,NA,NA,NA,2,5,NA,NA,NA,39.2,84.6,0.19,NA,0.75,6800,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,100,73,28,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Río Negro,RN7,TACUAREMBÓ,2011-05-26,2011-05-26 00:00:00,3271155,0.1,3.3,47,102.1,8.1,6.67,81.8,12,14,NA,15.5,NA,NA,NA,11,NA,1.4,3.5,NA,NA,NA,2.5,6.9,NA,NA,NA,43.3,79.6,0.17,NA,0.75,4500,20,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.8,NA,110,84,28,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Río Negro,RN9,RÍO NEGRO,2011-05-27,2011-05-27 00:00:00,3271156,NA,NA,50,86,8.18,7.18,81.6,6,7,NA,15.1,NA,NA,NA,12,NA,1.9,3.9,NA,NA,NA,1.8,5.9,NA,NA,NA,40.9,83.2,0.29,NA,0.72,1400,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.12,NA,130,95,30,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Río Negro,RN9F,RÍO NEGRO,2011-05-27,2011-05-27 00:00:00,3271157,NA,NA,52,90.75,8.14,7.64,81.4,9,11,NA,15,NA,NA,NA,12,NA,2.2,4.2,NA,NA,NA,1.8,6,0.056,NA,NA,31.1,95.1,0.32,NA,0.85,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.47,NA,130,100,33,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Río Negro,RN10,RÍO NEGRO,2011-05-27,2011-05-27 00:00:00,3271158,0.3,1.5,54,93.3,7.58,7.36,75.7,13,15,NA,15,NA,NA,NA,12,NA,1.9,4.3,NA,NA,NA,1.8,6.2,NA,NA,NA,47.9,107,0.34,NA,1.56,2300,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,140,100,36,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Río Negro,RN11,RÍO NEGRO,2011-06-01,2011-06-01 00:00:00,3271159,NA,3.3,51,104,8.1,6.93,79.9,NA,NA,NA,14.5,NA,NA,NA,11,NA,0.76,3.6,NA,NA,NA,2,5.8,NA,NA,NA,53.2,144,0.26,NA,0.75,280,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,100,71,33,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Río Negro,RN12,DURAZNO,2011-06-01,2011-06-01 00:00:00,3271160,0.3,5.1,46,102.1,6.36,6.15,60.1,5,6,NA,12.7,NA,NA,NA,9.3,NA,0.95,2.7,NA,NA,NA,2.7,9.6,NA,0.025,NA,146,258,0.47,NA,1.3,320,NA,1.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,130,82,52,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Río Negro,RN13,SORIANO,2011-06-02,2011-06-02 00:00:00,3271161,0.7,4.6,53,122,7.66,7.65,77.1,NA,NA,NA,15.5,NA,NA,NA,11,NA,0.34,3.9,NA,NA,NA,2.1,7.6,0.11,NA,NA,43.9,83.7,0.12,NA,1.13,36,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,96,79,17,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Río Negro,RN13F,RÍO NEGRO,2011-06-02,2011-06-02 00:00:00,3271162,NA,NA,56,124.9,8,6.93,80.8,NA,NA,NA,15.3,NA,NA,NA,12,NA,0.7,3.9,NA,NA,NA,2.1,8.1,0.14,NA,NA,45.7,82.3,0.14,NA,0.54,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,110,94,17,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Río Negro,RN14,SORIANO,2011-06-02,2011-06-02 00:00:00,3271163,NA,2.5,57,102.9,7.99,7.59,80.3,NA,NA,NA,15.1,NA,NA,NA,11,NA,0.79,4,NA,NA,NA,2.1,8.2,NA,NA,NA,48.1,86.2,0.12,NA,0.56,140,21,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,120,94,23,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Río Negro,RN15,SORIANO,2011-06-03,2011-06-03 00:00:00,3271164,3.5,NA,57,129.3,15,7.71,81.5,6,7,NA,14.9,NA,NA,NA,13,NA,0.72,4,NA,NA,NA,2.1,8,NA,NA,NA,51.4,117,0.15,NA,0.7,270,17,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,130,100,25,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Río Negro,RN16,SORIANO,2011-06-03,2011-06-03 00:00:00,3271165,3.8,NA,60,131.3,8.25,7.77,82.7,6,7,NA,14.7,NA,NA,NA,13,NA,0.93,4,NA,NA,NA,2.2,8.2,NA,NA,NA,52.7,115,0.16,NA,0.67,3400,19,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.74,NA,120,88,30,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Río Negro,RN17,SORIANO,2011-06-03,2011-06-03 00:00:00,3271166,2.3,NA,58,102.1,7.47,7.2,73.7,NA,5,NA,14.8,NA,NA,NA,13,NA,0.92,3.9,NA,NA,NA,2.2,8,NA,NA,NA,58,120,0.16,NA,0.74,1800,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,110,77,34,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Río Negro,RN1,CERRO LARGO,2012-01-18,2012-01-18 00:00:00,3271167,6.5,6,100,241.8,5.53,7.98,67.2,21,24,NA,25,NA,0.005,NA,25,NA,1.5,6.5,0.21,NA,NA,3.1,27,0.004,0.11,NA,53.1,161,0.1,22.6,1.57,250,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,290,180,110,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Río Negro,RN2,TACUAREMBÓ,2012-01-18,2012-01-18 00:00:00,3271168,3.1,6.1,53,131.8,6.26,7.75,78.9,44,46,NA,27,NA,NA,NA,23,NA,2.2,6.3,NA,NA,NA,3.2,27,0.008,0.08,NA,69.3,147,0.08,18.7,0.64,50,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,190,130,67,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Río Negro,RN3,TACUAREMBÓ,2012-01-18,2012-01-18 00:00:00,3271169,8.9,5,44,84.4,7.38,8.54,87.6,NA,NA,NA,25.6,NA,NA,NA,10,NA,1.2,3.1,0.31,NA,NA,1.6,5.1,NA,0.02,NA,15.9,67,0.1,2,0.62,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,150,50,100,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Río Negro,RN5,TACUAREMBÓ,2012-01-19,2012-01-19 00:00:00,3271170,72.5,4.4,40,91.5,7.86,8.77,95.6,NA,14,10,25.6,NA,NA,NA,9.8,NA,0.93,3,NA,NA,NA,1.9,5.1,NA,0.11,NA,34.3,140,0.59,2,1.11,40,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.3,NA,110,84,26,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Río Negro,RN5F,TACUAREMBÓ,2012-01-19,2012-01-19 00:00:00,3271171,NA,NA,39,93.1,6.93,8.53,83.9,NA,12,9,25.7,NA,NA,NA,9.5,NA,0.91,3,NA,NA,NA,1.9,5.2,NA,0.1,NA,29.9,120,0.58,2,0.96,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,110,94,14,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Río Negro,RN6,TACUAREMBÓ,2012-01-19,2012-01-19 00:00:00,3271172,2.2,7.8,38,92.1,6.95,8.79,89.1,NA,8,5,26,NA,NA,NA,9.4,NA,1,3,0.21,NA,NA,2,5.3,NA,0.07,NA,43.9,150,0.38,2,0.73,55,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.5,NA,110,87,18,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Río Negro,RN7,TACUAREMBÓ,2012-01-19,2012-01-19 00:00:00,3271173,6.5,3.5,37,91.9,7.15,8.28,86.7,NA,NA,NA,25.1,NA,NA,NA,8.7,NA,1,3.1,NA,NA,NA,2,5.3,0.004,0.03,NA,56.2,120,0.23,2,0.63,45,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,100,83,17,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
