nombre_programa,codigo_pto,departamento,fecha_muestra,fecha_hora,id_muestra,clorofila_a_mg_l,feofitina_a_mg_l,alc_t_mg_ca_co3_l,conduc_m_s_cm,od_mg_l,p_h_sin_unid,sat_o2_percent,ssf_mg_l,sst_mg_l,ssv_mg_l,t_º_c,transparencia_cm,as_mg_l,cd_mg_l,ca_mg_l,cr_mg_l,fe_mg_l,mg_mg_l,hg_mg_l,ni_mg_l,pb_mg_l,k_mg_l,na_mg_l,zn_mg_l,n_amoniacal_mg_nh4_n_l,cn_total_mg_l,po4_mg_po4_p_l,pt_mg_p_l,no3_mg_no3_n_l,no2_mg_no2_n_l,nt_mg_n_l,termo_tmf_ufc_100ml,aox_mg_l,glifosato_mg_l,aldrin_mg_l,p_p_ddd_mg_l,p_p_dde_mg_l,p_p_ddt_mg_l,dieldrin_mg_l,endosulfan_alfa_mg_l,endosulfan_beta_mg_l,endosulfansulfato_mg_l,heptacloro_mg_l,lindano_mg_l,metoxicloro_mg_l,atrazina_mg_l,dbo5_mg_o2_l,sustfenolicas_mg_l,ampa_mg_l,st_mg_l,stf_mg_l,stv_mg_l,color_unidad_de_color,turbidez_ntu,cu_mg_l,se_mg_l,so4_mg_l,si_o2_mg_si_o2_l,colif_tmf_ufc_100ml,enteroc_sd_nmp_100m_l,ecoli_mf_ufc_100ml,pc_btotales_ng_l,toc_mg_l,dqo_mg_o2_l,ay_g_mg_l,dureza_t_mg_ca_co3_l,al_mg_l,s2_mg_l,heptacloroepoxido_mg_l,sd_mg_l,sdv_mg_l,pcb105_ng_l,pcb114_ng_l,pcb118_ng_l,pcb123_ng_l,pcb126_ng_l,pcb156_ng_l,pcb157_ng_l,pcb167_ng_l,pcb169_ng_l,pcb189_ng_l,pcb77_ng_l,pcb81_ng_l,b_mg_l,cl_mg_l,fenantreno_mg_l,fluoranteno_mg_l,fluoreno_mg_l,naftaleno_mg_l,pireno_mg_l,dibenzo_a_h_antraceno_mg_l,criseno_mg_l,benzo_a_antraceno_mg_l,benzo_a_pireno_mg_l,benzo_b_j_fluoranteno_mg_l,benzo_k_fluoranteno_mg_l,benzo_ghi_perileno_mg_l,acenafteno_mg_l,acenaftileno_mg_l,antraceno_mg_l,indeno_1_2_3_cd_pyreno_mg_l,deterg318_mg_l,ecoli_sd_nmp_100m_l
Rio Uruguay,RU10,RÍO NEGRO,2014-10-22,2014-10-22 00:00:00,3277993,1.2,2.5,46,62.7,8.59,7.43,93.1,4,5,1,19.4,50,0.002,NA,9.4,NA,1.7,0.05,NA,NA,NA,1.7,3.4,NA,0.03,NA,0.038,87,0.35,0.005,1.84,65,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,95,69,26,100,25,NA,0.002,1.4,16.8,1800,10,10,NA,10.7,17,5.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Rio Uruguay,RU12,RÍO NEGRO,2014-10-22,2014-10-22 00:00:00,3277995,0.4,0.5,30,51.1,8.59,7.25,95.5,5,6,1,20.4,60,0.002,NA,6.9,NA,2.3,0.05,NA,NA,NA,1.7,2.5,NA,0.031,NA,0.037,70,0.4,0.004,1.11,120,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,83,55,28,130,26,NA,0.002,1.8,16,630,3.1,10,NA,9.53,18,5.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Rio Uruguay,RU16,RÍO NEGRO,2014-10-22,2014-10-22 00:00:00,3277999,0.7,1.7,38,56.2,7.89,8,99.5,4,5,1,21.1,55,0.002,NA,8.7,NA,1.4,0.05,NA,NA,NA,1.8,3.6,NA,0.039,NA,0.033,20,0.38,0.001,1,590,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,94,60,34,100,NA,NA,0.002,1.6,16.8,4800,4.1,10,NA,8.77,17,5.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Rio Uruguay,RU2,RÍO NEGRO,2016-01-26,2016-01-26 00:00:00,3277867,1.2,0.2,24,60.4,6.91,6.84,90.7,1,1,1,28.9,115,0.002,NA,5.4,0.002,1.9,NA,NA,0.002,0.002,1.4,1.8,0.01,0.021,NA,0.022,190,0.5,0.013,1.5,21,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,74,53,21,100,10,NA,0.001,1.8,15,35,31,100,NA,5.8,NA,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Rio Uruguay,RU3,RÍO NEGRO,2016-07-05,2016-07-05 00:00:00,3277919,0.6,NA,30,49.1,11.46,6.26,107.9,7,9,2,12.9,45,0.002,0.001,7.6,NA,2.1,NA,NA,NA,0.009,1.3,2.8,NA,NA,NA,0.044,74,0.59,0.003,0.88,150,8.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,74,47,27,100,13,0.01,0.001,1.5,18,630,36,100,0.08,1.3,18,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Rio Uruguay,RU4,RÍO NEGRO,2016-07-05,2016-07-05 00:00:00,3277920,1.6,0.5,29,49.9,12.22,7.72,117.3,4,5,1,13,NA,0.002,0.001,7.3,NA,1.6,NA,NA,NA,0.009,1.3,2.8,NA,NA,NA,0.057,67,0.63,0.003,0.98,120,7.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,67,45,22,100,12,0.01,0.001,1.2,16,570,23,100,0.14,2.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Rio Uruguay,RU1,RÍO NEGRO,2014-07-22,2014-07-22 00:00:00,3277967,0.1,0.6,30,42.3,8.73,6.84,89.8,8,10,2,17,22,0.002,NA,6.9,NA,1.9,0.05,NA,NA,NA,1.7,2.4,NA,0.034,NA,0.039,71,0.53,0.004,1.29,390,12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.4,NA,NA,96,63,33,100,32,NA,0.002,NA,17,5800,4.7,100,NA,5.4,17,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Rio Uruguay,RU1,RÍO NEGRO,2017-07-25,2017-07-25 10:21:00,3287040,NA,NA,26,52.7,9.87,7.36,97.5,NA,NA,NA,14.9,75,NA,NA,7.7,NA,0.62,3.1,NA,NA,NA,2.8,4.5,NA,NA,NA,18,83,0.79,NA,0.81,640,7.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.7,4,NA,79,52,27,100,16,NA,NA,1.4,15,2400,3.1,100,0.06,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Rio Uruguay,RU15,RÍO NEGRO,2017-07-26,2017-07-26 12:51:00,3287059,NA,NA,28,53.7,9.86,7.39,98.2,NA,NA,NA,15.1,80,NA,NA,7.4,NA,0.85,3,NA,NA,NA,2.8,4.3,NA,NA,NA,22,86,0.72,0.005,0.87,62,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.7,NA,NA,77,49,28,100,12,NA,NA,1.5,16,3500,3.1,100,NA,1.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Rio Uruguay,RU16,RÍO NEGRO,2017-07-26,2017-07-26 13:05:00,3287060,NA,NA,36,72.2,10.13,6.95,103.2,NA,NA,NA,16.3,80,NA,NA,9.1,NA,0.51,3.2,NA,NA,NA,2.9,6.5,NA,NA,NA,25,85,0.73,0.006,0.89,1900,7.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.5,NA,90,59,31,100,13,NA,NA,2.8,16,19000,24,1000,0.05,2.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Rio Uruguay,RU11,RÍO NEGRO,2015-06-24,2015-06-24 00:00:00,3278062,0.1,0.4,33,61.5,10.64,6.87,101.2,3,3,1,13.8,53,0.002,0.001,6.8,NA,0.49,NA,NA,0.006,0.009,1.1,2.6,0.007,0.004,NA,0.033,66,0.96,0.003,1.11,25,11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,97,77,20,85,23,0.005,0.001,1.8,16,1800,1,11,NA,3.29,7,5.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Rio Uruguay,RU11,RÍO NEGRO,2017-03-08,2017-03-08 10:15:00,3287031,0.6,4.6,25,65.8,7.36,7.25,91.2,5,6,NA,26.5,55,NA,NA,4.5,NA,1.8,1.7,NA,NA,NA,1.1,1.8,NA,NA,NA,28,68,0.49,0.005,0.73,16,6.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,74,45,30,85,25,NA,NA,1.3,13,55,1,11,0.082,12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Rio Uruguay,RU12,RÍO NEGRO,2017-03-08,2017-03-08 10:41:00,3287032,0.1,3.6,25,69.3,7.16,7.2,89.1,NA,5,NA,26.6,50,NA,NA,5.1,NA,1.5,1.7,NA,NA,NA,1.2,2.5,NA,0.013,NA,29,69,0.48,0.005,0.76,15,7.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,75,46,29,85,24,NA,NA,2,13,82,NA,11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
